,英単語,意味,発音記号
4001,Luke,(またSt.Luke)ルカ(キリストの12使徒の一人) / (新約聖書の)ルカによる福音書,lú:k
4002,tyrant, 『暴君』、圧制者 / 専制君主 / 僣王(古代ギリシアにおいて世襲以外の方法で王位を獲得した者),tái(ə)rənt
4003,strove, strive の過去,stróuv
4004,attraction, 〈U〉『引力』 / 〈C〉(人を)引きつける力、魅力となる物(事)《+『for』+『名』》 / 〈C〉呼び物、出し物,ətræ’kʃən
4005,slaughter, 〈U〉(食肉用の)『屠殺』(とさつ)、畜殺 / 〈C〉(人間・動物の)『大虐殺』;大量殺人 / 〈C〉《単数形で》《話》完敗 / (食肉用として)〈動物〉‘を’『屠殺する』、畜殺する(butcher) / 〈多数の人〉‘を’虐殺する(massacre) / 《話》(ゲームで)…‘を’完敗させる,slɔ’:tər
4006,dismal, 『陰うつな』、気のめいるような(gloomy);わびしい、ものさびしい(dreary) / 見る(聞く)に耐えない、へたな,dízməl
4007,assent, 同意する、賛同する / (特に、公式の場での提案などに対する)賛成、同意《+『to』+『名』》,əsént
4008,concert, 〈C〉(公開の)『演奏会』、音楽会 / 〈U〉協調、協力,kɑ’nsə:rt
4009,downward, (高さ・状態が)『下の方へ』、低い方へ / …『以来』、このかた / (位置・状態が)『下方への』、下り坂の、下向きの,dáunwərd
4010,canal, 『運河』 / (食道・気菅などの)導菅 / (火星の苗面に見える)運河状の地形,kənæ’l
4011,evenings, 毎夕方,í:vniŋz
4012,wax, 『ろう』(ミツバチが巣を作るために用いる beeswax、その他の動物性、植物性・鉱物性ろうの総称) / 耳あか(earwax) / (床・家具・自動車などをみがく)『ワックス』 / …‘を’ワックスでみがく;…‘に’ろうを塗る  〈月が〉だんだん大きくなる、満ちる / 〈大きさ・強さ・数量などが〉増大する / 《古》《形容詞を伴って》〈人が〉(…に)なる  かんしゃく、腹だち(rage),wæ’ks
4013,detective, 『刑事』;探偵 / 刑事の、探偵の / 探知用の、検出のための,ditéktiv
4014,fancies, 高級な菓子(fancy cakes),fæ’n(t)siz
4015,revolver, 回転式連発拳銃,rivɑ’lvər
4016,analysis, (内容・状況などの)『分析』、分解;(詳細な)検討 / (化学・物理で)分析;《米》(心理学で)[精神]分析;(数学で)解析,ənæ’ləsis
4017,roaring, ほえる;とどろく;騒々しい / 《話》(商売・体調などが)盛んな / (絶え間ない)うなり声、怒号、とどろき / ひどく,rɔ’:riŋ
4018,prompt, (人が)『てきぱきした』、敏速な(quick) / (事が)『てきぱきと行われる』、即刻の / 《補語にのみ用いて》(…に)時間どおりの(punctual)《+『in』+『名』(do『ing』)》 / …‘を’刺激する、促す、かりたてる / (演劇で)〈俳優〉‘に’陰からせりふをつける,prɑ’mpt
4019,paperwork, 書類仕事、文書仕事,péipəwə:k
4020,wherefore, 《疑問副詞》どんな理由(目的)で、なぜ(why) / 《関係副詞》 / 《制限用法》…する[理由](for which) / 《非制限用法》その理由で、それゆえに(therefore) / (…の)原因、理由《+of+名》,(h)wérfɔ:r
4021,emphasis, (…に対する)『強調』、重要視《+『on』(『upon』)+『名』》 / (音節・語・句などに置く)強勢、強調,émfəsis
4022,bronze, 〈U〉『青銅』、ブロンズ / 〈C〉青銅製の美術品 / 〈U〉青銅色 / 青銅色の / 青銅の、青銅製の / …’を’青銅のようにする、青銅色にする、〈日光などが〉〈皮膚など〉’を’褐色に焼く / 青銅色になる、日に焼ける,brɑ’nz
4023,waking, 目が覚めている、起きている,weikiŋ
4024,garment, (dressやcoatなど)衣服[のうちの一品],gɑ’:rmənt
4025,wholesome, 『体によい』、健康によい;健康そうな / (特に道徳的に)『健全な』、ためになる,hóulsəm
4026,remorse, (悪事や不正に対いする)『後悔』、良心のかしゃく、自責《+『for』+『名』(do『ing』)》,rimɔ’:rs
4027,Plato,プラトン(427?‐347?B.C.;ギリシアの哲学者),pléitou
4028,dew, 『露』 / (涙・汗などの)『しずく』、玉《+『of』+『名』》 / (…の)さわやかさ《+『of』+『名』》 / …‘を’露で湿らせる;(露が降りたように)…‘を’ぬらす,d(j)ú:
4029,monk, (一般に)修道僧、僧侶(そうりょ);(キリスト教の)修道士、道士  サル(猿),mʌ’ŋk
4030,thrill, (喜び・恐れ・興奮などで)『ぞくぞくする感じ』、ぞっとする(わくわくする)感じ、スリル / 『ぞくぞくさせるもの』、ぞっと(わくわく)させるもの / …‘を’『ぞくぞくさせる』、ぞっと(わくわく)させる / (…に)ぞくぞくする、ぞっとする、わくわくする《+at(to)+名》,θríl
4031,hue, (color);〈U〉〈C〉『色合い』(tint)  (追跡の)叫び声,hjú:
4032,exclusive, 『除外する』、排他的な;相いれない;(人が)打ち解けない / 入会に制限のある、選ばれた人のための / 《名詞の前にのみ用いて》『独占的な』、専用の / 完全な、全くの / 《話》(商品・ホテルなどが)高級な、一流の / (新聞の)独占記事 / (特定の品の)独占商品,iksklú:siv
4033,porter, (市場の)運搬人 / (駅、空港などの)『赤帽』 / 《米》(特等車・寝台車の)ボーイ / 《おもに英》(客の荷物を運ぶホテルなどの)ボーイ、玄関番  黒ビール,pɔ’:rtər
4034,uncommon, 『普通でない』、めったにない、並はずれた,ʌnkɑ’:mən
4035,dash, 《副詞[句]を伴っで》『突進する』 / (…に)『衝突する』、激しくぶつかる《+『against』(『into、 onto』)+『名』》 / (…に)…’を’『打ちつける』、投げつける《+『名』+『against』(『into、 to』)+『名』》;…‘に’打ちつける / 〈元気・希望など〉’を’くじく、〈人〉’を’落胆させる(depress) / (…に)〈木など〉’を’ぶっ掛ける、浴びせる《+『名』+『in』(『on、 over』)+『名』》;(水などを)…‘に’ぶっかける《+『名』+『with』+『名』》 / 〈C〉《a~》(…への)『突進』、疾走(rush)《+『at』(『for』)+『名』》 / 《the~》短距離競走 / 《the~》(…に)打ちつける音《+『against』(『on』)+『名』》 / 〈C〉(元気・希望などを)くじくもの、(…の)障害《+『to』+『名』(do『ing』)》 / 〈C〉(混合・添加する)(…の)少量《+『of』+『名』》 / 〈U〉映気;(…する)気力《+『to』 do》 / 〈C〉ダッシュ(一の符号) / 〈C〉モールス信号の長音,dæ’ʃ
4036,strained, 緊張した;疲れた / 不自然な、わざとらしい;こじつけの,stréind
4037,confounded, 混乱した、まごついた / 《名詞の前にのみ用いて》《遠回しに》ひどい、いまいましい,kɑnfáundid
4038,swim, 『泳ぐ』、水泳をする / (水上・空中などに)浮かぶ / (水などの易体で)いっぱいになる、あふれる《+with+名》・(…に)浸る《+in+名》 / 〈物ず〉ぐるぐる回るように見える;〈頭などが〉くらくらする / 〈河など〉‘を’泳いで渡る、〈ある距離〉‘を’泳ぐ / 《副詞[句]を伴って》〈人など〉‘を’泳がせる;〈船〉‘を’浮かせる / 『泳ぐこと』、,swím
4039,strip, …‘を’『裸にする』;(…を)…からはぎ取って裸にする《+名+of+名》 / (…から)…‘を’『取り去る』、はぎ取る《+名+off(+off+名)+from+名》 / (権利・栄誉・持と物などを)〈人など〉‘から’『奪う』、剥奪する《+名〈人〉+of+名》 / 〈ボルト・ギア・ねじなど〉‘の’ねじ山をすり減らす / 服を脱ぐ、裸になる《+off》  (布・板・土地などの)『細長い一片』《+of+名》 / (飛行機)の滑走路(airstrip) / =comic strip,stríp
4040,middle-aged, 中年の;中年特有の,
4041,ultimately, 最後に、ついに,ʌ’ltəmətli
