,英単語,意味,発音記号
4042,team,(スポーツの)『チーム』 / (共に仕事などをする)『一団』、一組 / (荷車を引く2頭以上の牛馬などの)一組 / 〈動物〉‘を’一組にする / …‘を’一組の動物で運ぶ / (…と)『チームを作る』、チームを組む、協力する《+up with+名》,tí:m
4043,missionary, 使節、(特に外国へ派遺される)宣教師、伝道師 / 伝道の、布教の,míʃənèri
4044,envelope, 『封筒』 / 包むもの,énvəlòup
4045,whoever, 《名詞節を導く関係代名詞》(先行詞を含む)…『する[ところの]だれでも』 / 《譲歩節を導く関係代名詞》『だれが…でも』 / 《疑問代名詞whoの強調形》《話》『いったいだれが』,hu:évər
4046,expensive, 『費用のかかる』、高価な,ikspénsiv
4047,headquarters, 『本部』、(軍隊の)司令部、(警察の)本署 / (一般に)活動の中心、本拠、本社 / 《集合的に》本部員、司令部員,hédkɔ`:rtərz
4048,brandy,ブランデー(ぶどう酒から造る強い酒) / ブランデー1杯 / …’を’ブランデーに漬ける,bræ’ndi
4049,startling, 驚くべき、びっくりさせる(surprising),stɑ’:rtliŋ
4050,acute, (先の)『鋭い』、とがった / (痛み・感情などが)『激しい』、強い / (知力・感覚などが)『鋭い』、鋭敏な / (事態が)重大な / (病気が)急性の / (音が)高い、鋭い / 鋭角の,əkjú:t
4051,motor, (電気の)『モーター』、電動機 / エンジン、(特に)内燃機関 / 《英》自動車(motorcar) / 《名詞の前にのみ用いて》 / モーターの;エンジンの;自動車の / モーター(エンジン)による、自動車による / (神経・筋肉について)運動の / 自動車で行く / …‘を’自動車で運ぶ,móutər
4052,volunteer, (…の)『志願者』、有志《+for+名(doing)》 / 『志願兵』、義勇兵 / (…を)自発的にやろうとする、(…に)志願する《+for+名(doing)》 / …‘を’自発的に申し出る / 有志の、志願の、自発的な、,vɑ`ləntíər
4053,offspring, 《単数・複数扱い》(人間や動物の)『子;子孫』 / (…から)生じたもの、(…の)結果、所産《+『of』+『名』》,ɑ’:fspriŋ
4054,network, 〈U〉〈C〉網、網細工 / 〈C〉『網状のもの』 / 〈C〉(ラジオ・テレビの)放送網,nétwə:rk
4055,indispensable, 『欠くことのできない』、絶対に必要な,ìndispénsəbl
4056,plane, 『平面』、水平面 / 『水準』、程度 / 《話》『飛行機』 / (面が)平らな、平たんな / 平面の、平面図形の;平面上にある / 〈飛行機〉滑走する  かんな / …‘に’かんなをかける;…‘を’平らにする / かんなをかける  =plane tree,pléin
4057,reaction, {名}(…に対する)『反応』《+『to』+『名』》 / 〈U〉(…に対する)(政治的・社会的な)『反動』、逆コース《+『against』+『名』》 / 〈U〉〈C〉化学反応、化学変化 / 〈U〉〈C〉(物理学で)反作用,riæ’kʃən
4058,partially, 部分的に、一部分 / 不公平に、偏って,pɑ’:rʃəli
4059,proudly, 威張って / 誇りをもって / 堂々と,práudli
4060,baggage, 〈U〉《米》《集合的に》(旅行用)『手荷物』《英》luggage) / 〈U〉軍用行李(こうり) / 〈U〉《おどけて》おてんば娘《形容詞的に》『baggage check』{名}〈C〉《米》手荷物チッキ『baggage claim』{名}〈C〉(空港の)手荷物受取の所『baggage room』{名}〈C〉《米》(駅の)手荷一時預り所,bæ’giʤ
4061,terrace, バルコニー / 『テラス』、頂台 / 台地、(特にひな壇式の)段地 / 台地(傾斜地)にある家並み、高台の町 / (東洋・スペインなどの)平屋根 / …‘を’台地にする、ひな壇式にする / …‘に’テラスをつける,térəs
4062,deaf, 『耳が遠い』、耳が不自由な / 《the deaf;名詞的に》耳が不自合な人々 / 《補語にのみ用いて》(…を)『聞こうとしない』(…に)むとんじゃくである《+『to』+『名』》,déf
4063,allusion, (…の)ほのめかし、あてつけ;(…の)引喩(いんゆ)《+『to』+『名』》,əlú:ʒən
4064,grip, 《単数形で》(…を)『しっかり握る』(『つかむ』)『こと』《+『on』+『名』》 / (特にスポーツ用具などの)握り方;握力 / (…に対する)支配力、制御力《+『on』+『名』》 / 《単数形で》(…に対する)『理解力』《+『on』(『of』)+『名』》 / (道具・機械などの)『握り』、取っ手、柄 / 《おもに米》小型の手さげ旅行かばん / =grippe / …‘を’『しっかりつかむ』(『握る』) / 〈人・物・事が〉〈人・関心・注意など〉‘を’つかむ、引きつける / 〈人が〉〈意味・要点など〉‘を’つかむ、理解する,gríp
4065,juice, 〈U〉〈C〉(果物・野菜・肉などの)『汁』、『液』、ジュース;〈U〉(植物の)樹液 / 《複数形で》(動物の)体液、分泌液 / 〈U〉《俗》電気;ガソリン、燃料オイル / …‘から’汁をしぼり取る,ʤú:s
4066,resigned, あきらめている、忍従している,rizáind
4067,humility, 謙そん、卑下;〈C〉《複数形で》謙虚な行為,hju:míləti
4068,Benjamin, ベニヤミン(旧約聖所でイスラエルの祖のJacobの末子),bénʤəmin
4069,blast,〈C〉(風の)『一吹き』、一陣の風;突風、疾風《+『of』+『名』》 / 〈C〉(穴から吹き出す空気の)一吹き / 〈C〉(笛・らっぱなどの)突然の大きな[不快な]音《+『of』+『名』》 / 〈C〉〈U〉爆破(explosion)《+『of』+『名』》 / 〈C〉(1回分の)発破、爆薬 / 〈C〉〈U〉爆風 / …’を’『爆破する』;…’を’爆破して作る(開く) / 《文》…’を’孫なう、台なしにする;〈霜などが〉…’を’枯 / 〈らっぱなど〉’を’急に大きく鳴らす / …’を’酷評する;(…について)〈人〉’を’こっぴどく叱る《+『名』+『about』+『名』(do『ing』)》 / …’を’のろう(damn),blæ’st
4070,ministry, 〈U〉《the~》牧師の職 / 《the~》《集合的に》聖職者、牧師(clergy) / 〈C〉(英国・欧州諸国・日本などの)『省』;省の建物 / 〈C〉《通例単数形で》大臣(公使)の職(任期) / 〈C〉《しばしばthe M-》『内閣』、閣僚たち,mínəstri
4071,sexual, 性の、男女(雌雄)の / 有性生殖の,sékʃuəl
4072,Nile, ナイル川(アフリカ東部ビクトリア湖に発し地中海に駐ぐ大河),náil
4073,diameter, 『直径』 / (レンズなどの)倍率,daiæ’mətər
4074,troop,(特に、移動中の人・野生の動物の)『群れ』、一団《+of+名》 / 騎兵大隊、装甲車大隊 / 《複数形で》『軍隊』;警官隊;武装団 / ボーイ(ガール)スカウトの分隊(16‐32人で編成する) / 群れをなして動く / 〈軍旗〉‘を’先頭に立てて分列行進をする,trú:p
4075,onward, (空間的・時間的に)『前へ』(『に』)、『先へ』(『に』)(forward) / 『前方への』、前へ進む(forward),ɑ’nwərd
4076,tightly, しっかりと、きつく,táitli
4077,sullen, (ある期間)『不きげんな』、むっつりした / 『陰うつな』、陰気な(gloomy),sʌ’lən
4078,brutal, 『けものの』;けもののような;『残酷な』、野蛮な,brú:tl
4079,Holmes,ホームズ(Oliver Wendell~;1809‐94;米国の詩人・小説家) / (Sherlock~; 1 シャーロックホームズ 《Conan Doyle 作の推理小説中の主人公で名探偵》,hóumz
4080,penalty, 『刑罰』、処罰 / (ある行為・状態に伴う)不利益 / 『罰金』、違約金、反則金 / (スポーツ・競技で、反則に対する)『罰則』、ペナルティー;(前回の勝者に対する)ハンディキャップ,pén(ə)lti
4081,tops, 《補語にのみ用いて》《米話》最上の、最高の,tɑ’ps
4082,diamond,『ダイヤモンド』、ダイヤ、金剛石 / ガラス切り / 菱(ひし)形[のもの] / (カードの)ダイヤの札 / (野球の)内野;野球場 / ダイヤモンド製の;ダイヤモンド入りの / ダイヤモンド形の / ダイヤモンド記念の(結婚記念日などが75回目、または60回目),dái(ə)mənd
4083,corridor, (片側また両側に部屋が並んでいる)『廊下』,kɔ’:ridər
4084,alternate, 『交互の』、かわるがわるの / 一つおきの(every other) / 代わりの、どれか一つの / 《米》代わり[の人](substitute) / 〈両者が〉交替する;(…と)交替する、互い違いになる《+『with』+『名』》 / …’を’交互にさせる,ɔ’ltərnèit
4085,echo, 〈C〉〈U〉『反響』[音];『こだま』、山びこ / 〈C〉〈U〉(意見・心情などに対する)共鳴、反応 / 〈C〉〈U〉(他人の行為・意見などの)繰り返し、まね《+『of』+『名』》;(…からの)影響《+『from』+『名』》;〈C〉まねをする人 / 〈場所が〉…‘を’『反響させる』 / 〈人の言葉・意見〉‘を’『そのまま繰り返す』、そっくりまねる / (…で)〈場所・音・声が〉『反響する』《+『with』+『名』(do『ing』)》,ékou
4086,restraint, 〈U〉『抑制』(『拘束』、『束縛』)『すること』 / 〈U〉束縛された状態、監禁(confinement) / 〈C〉抑制(拘束、束縛)するもの / 〈U〉(行為・感情などの)自制、慎み、遠慮(reserve),ristréint
4087,identity, 〈U〉『同一であること』 / 〈C〉〈U〉(人・物の)『身元』、正体 / 〈C〉独自性、個性,aidéntəti
4088,headed, 頭[部]のある、見出しのある / (キャベツなどが)結球した / 《複合語を作って》「…の頭を持つ」「頭が…の」の意を表す,hédid
4089,sway, 『前後(左右)に動く、』揺れる / 《方向を表す副詞[句]を伴って》(一方に)『傾く、』かしぐ / …‘を’『揺する、』揺り動かす / (方向を表す副詞[句]を伴って)…‘を’傾ける / …‘に’『影響を与える、』‘を’左右する;《古》…‘を’支配する / (…の)揺れ、動揺《+of+名》 / (…の)影響;支配、統治《+of+名》,swéi
4090,screen, (わくのついた)『金網』、網戸 / 『ついたて』、びょうぶ / 『隠すもの』、遮蔽(しゃへい)物、保護物 / (映画・スライドの)映写幕、スクリーン / (テレビなどの)映像スクリーン / 《the screen》《集合的に》映画[産業];映画界 / (じゃり・砂などの)ふるい / …‘に’網戸をつける、金網を付ける / 《しばしば受動態で》…‘を’『隠す』、保護する / (…から)…‘を’仕切る《+『off』+『名』(+『名』+『out』)+『from』+『名』》 / 〈じゃり・砂など〉‘を’ふるいにかける / (ふるいにかけるように)…‘を’除去する、濾過(ろか)する《+『out』+『名』、+『名』+『out』》 / 《しばしば受動態で》…‘を’えり分ける、選別(選抜)する / 《通例受動態で》〈映画〉‘を’上映する,skrí:n
4091,professed, 《名詞の前にのみ用いて》公言した、公然の / 自称の;見せかけの,prəfést
4092,dirt, 『不潔な物』、汚物;泥、ほこり、ごみ / 土(soil) / 無価値なもの / わい談、春画、わいせつ本(pornography) / 《話》卑わいな言葉;(特に)卑わいな悪口,də’:rt
4093,era, (あるものの存在・でき事などで特徴づけられた)時代 / 紀元 / (地質の時代を表す)代,í(ə)rə
4094,ambassador, 『大使』,æmbæ’sədər
4095,breed, 〈動物が〉『子を生む』、繁殖する / 〈物事が〉生ずる、起こる / (新種の育成、品種改良などのために)〈家畜〉‘を’『詞育する』、〈植物〉‘を’『育てる』 / …‘を’『生む』、『生じさせる』 / 〈子供など〉‘を’育てる、しつける / (動植物の改良された)『品種』、血統 / 種類,brí:d
4096,interference, 〈U〉(…への)干渉、口出し、妨害《+『with』+『名』》 / 〈U〉〈C〉(ラジオ・テレビの)混信;(光波・音波などの)干渉 / 〈U〉(一般のスポーツで)妨害行為,ìntərfí(ə)rəns
4097,afar, 遠くに、はるかに,əfɑ’:r
4098,consist, 《『consist of』+『名』》〈団体・物・事が〉(…から)『成る』、(…で)成り立っいる受動態にできない; / 《『consist in』+『名』(do『ing』)》〈事の本質が〉(…に)ある、含まれている(受動態にできない) / 《『consist with』+『名』》〈事柄が〉(…と)一致する、両立する,kənsíst
4099,acceptance, 〈U〉受け取ること、認めること、受け入れられていること;同意 / 〈U〉(手形の)引受け;〈C〉引受済み手形,æksépt(ə)ns
4100,flashing, 雨押え(建物に雨水が入るのを防ぐため屋根の継ぎ目をおおう金属板),flæ’ʃiŋ
4101,lazy, (人動物が)『怠惰な』、無精な、物ぐさな / (物事が)(人の)怠惰を誘う、けだるい、ものうげな / 動きがのろい / 《名詞的に;the lazy》怠け者[たち],léizi
4102,shrewd, (実際的な事柄に)『鋭い』、抜け目のない;洞察力のある,ʃrú:d
4103,extravagant, (人が)『むだ遣いをする』、ぜいたくな / 常軌を逸した、とっぴな;法外な、過度の,ikstræ’vigənt
4104,momentary, 『瞬時の』、はかない、つかの間の / 《ややまれ》刻々の,móuməntèri
4105,cordial, 『心からの』、本心からの / 元気づける、強心性の / 〈C〉〈U〉強心剤 / 〈U〉リキュール酒,kɔ’:rʤəl
4106,engineer, 『技師』、技術家 / 《米》(特に鉄道の)『機関士』 / 巧みに事を処理する人、手腕家 / (陸軍の)工兵;(海軍の)機関士官 / (技師として)…‘を’設計する、建設する / …‘を’巧みに処理する、工作する,ènʤiníər
4107,rapidity, 急速、敏速;速度,rəpídəti
4108,halt, 《a~》『停止』、休止 / 《おもに英》停車場;バス停 / 『停止』(休止)『する』 / …‘を’停止(休止)させる  ためらう  脚の不自由な人,hɔ’:lt
4109,alternative, (二つのうち)『どちらかを選ぶべき』、二者択一の / 代わりの / 反体制的な、現在の社会と違った価値体系を持った / 二つのものの一つを選ぶこと、二者択一 / (二者のうち)選ぶべき一方 / 代わりのもの;他にとりうる方法,ɔ:ltə’:rnətiv
4110,stamp, 〈地面・床など〉‘を’『踏みつける』;〈足〉‘を’踏み鳴らす;…‘を’踏みにじる、踏みつぶす / …‘に’『印』(『判』)『を押す』;(印などを)…‘に’押す《+『名』+『with』+『名』〈印〉》;(…に)〈印など〉‘を’押す《+『名』〈印〉+『on』+『名』》 / 《しばしば受動態で》(印象などを)〈心など〉に刻みつける《+『名』+『with』+『名』〈印象〉》;(心などに)〈印象など〉‘を’刻みつける《+『名』〈印象〉+『on』(『in』)+『名』》 / …‘に’切手(印紙)をはる / (…であると)〈事が〉〈人〉‘を’はっきり示す《+『名』〈人〉+『as』+『名』(『形』)〈補〉》 / …‘を’押しつぶす、粉砕する;…‘を’粉々にして(…に)する《+『名』+『into』(『to』)+『名』》 / 踏みつける、足を踏み鳴らす;足を踏み鳴らして歩く / 〈C〉『切手』(postage stamp)、[収入]印紙、証紙 / 〈C〉『判』、印章;押し型、抜き型 / 〈C〉(判・押し型などで押した)印、スタンプ、消し印、検印 / 〈U〉特質、特徴、印 / 〈U〉種類、型 / 〈C〉足踏み、踏みつけること、じだんだ,stæ’mp
4111,compact, 『ぎっしり詰まった』、目詰んだ、緊密な;(体格が)引き締まった / こぢんまりして経済的な、小さくまとまった / (文体などが)簡潔な / …’を’ぎっしり詰める;…’を’圧縮する / コンパクト(鏡、おしろい、パフの携帯用ケース) / 中型自動車(compact car)  契約、盟約 / (…と)契約する《+『with』+『名』》,kəmpæ’kt
4112,breathless, 息切れした、息もつけない;息を殺した / 《まれ》そよ吹く風もない / 息の絶えた,bréθlis
4113,drift, 〈U〉『漂流』、流されること / 〈U〉(海流・風などの)流れ、流れの方向(速度) / 〈C〉(雪・砂などの)吹きだまり、漂流物《+『of』+『名』》 / 〈U〉〈C〉大勢、風潮、傾向 / 〈U〉《時にa~》主意、主旨 / (水・風に)『流される』、漂う、漂流する / あてもなくさまよう / 〈雪・砂などが〉吹き積もる、吹きだまりになる / 〈砂・雪など〉‘を’吹き寄せる;〈場所〉‘を’吹きだまりにする,dríft
4114,disappear, 『見えなくなる』、消える、姿を消す、消滅する,dìsəpíər
4115,counter, (商店・銀行などの)『売り台』、勘定台、カウンター / (食堂などに)『カウンター』 / (おもちゃの)模造貨幣  計算する人 / (特に電動式の)計算器、計数器 / (ゲームの得点計算用)数取り、点棒  『反対の』、逆の(opposite) / (一対の)片方の、副の / (…と)反対に、逆に《+『to』+『名』》 / …‘に’『逆らう』、立ち向かう / …’を’無効にする / (ボクシングなどで)〈打撃〉’を’返す、‘に’反撃する / (ボクシングなどで)打ち返す / 『逆』、反対、対立物 / (フェンシングの)受け流し / (ボクシングなどで)打ち返し、カウンター / (靴の)かかとの皮,káuntər
4116,Venus, ビーナス(ローマ神話の愛と美の女神;ギリシア神話では Aphrodite) / 金星 / 〈C〉(ビーナスのような)絶世の美女,ví:nəs
4117,imaginary, 『想像』[『上』]『の』、仮空の、実在しない,imæ’ʤənèri
4118,ray, 『光線』;熱線;放射線 / 《a ~》(希望などの)一筋(ひとすじ)、ごく少量《+『of』+『名』》 / 放射状に突き出たもの;(ヒトデなどの)腕  (魚の)エイ,réi
4119,climbing, 登る、はい登る / 登ること、登山,kláimiŋ
4120,attract, (物理的な力で)…’を’『引きつける』、『引き寄せる』 / 〈人、人の注意・興味など〉’を’『引きつける』、誘う,ətræ’kt
4121,astonishing, 『驚くべき』、びっくりするような,əstɑ’niʃiŋ
4122,competition, 〈U〉〈C〉(…との…の)『競争』《+『with』+『名』+『for』+『名』》 / 〈C〉試合,kɑ`mpətíʃən
4123,ink, (筆記用・印刷用)の『インク』 / (イカなどの出す)墨 / …‘を’インクで書く(塗る、しるす、汚す),íŋk
4124,oft, しばしば(often),ɔ’:ft
4125,crystal, 〈U〉『水晶』 / 〈C〉『水晶製品』、水晶玉 / 〈U〉クリスタルグラス(透明度の高い鉛ガラス);《集合的に》クリスタルグラス製食器類(特にコップ類) / 〈C〉『結晶[体]』 / 〈C〉《米》(時計の)ガラスぶた / 『水晶[製]の』;クリスタルグラス製の;透き通った,krístl
4126,shower, 《しばしば複数形で》『にわか雨』、にわか雪(あられ) ・(涙・弾丸・祝福・批判などの)『雨』、(…の)洪水《+『of』+『名』》・《米》共同して金を集めてお祝いのプレゼントを贈ること、祝い品贈呈会(特に結婚や出産を控えた婦人を祝って贈物をするパーティー) ・(また『shower bath』) ・『シャワー』・…に『水を注ぐ』・…を『降り注ぐ』・《itを主語にして》にわか雨が降る・(…に)降り注ぐ《+『on』(『upon』)+『名』》 / シャワーを浴びる,ʃáuər
4127,obedient, 『従順な』、すなおな,oubí:diənt
4128,await, 〈人が〉…’を’『待つ』 / 〈物・事が〉〈人〉’を’待ちうける、待ちかまえる,əwéit
4129,armour, 《英》=armor; よろい、装甲,ɑ’:rmər
4130,massive, 『大きくて重い』、どっしりした;大規模な / (容ぼう、特に頭が)がっちりした / (精神などが)しっかりした、堂々とした / (投薬量が)定量以上の,mæ’siv
4131,kin, 《古・話》《複数扱い》親族、親類 / 〈U〉(…との)親類関係《+『to』+『名』》 / (…にとって)親類で、血族で;(…の)同類で《+『to』+『名』》,kín
4132,cellar, 『地下室』(basement)食料貯蔵室、穴蔵;(地下の)ぶどう酒貯蔵室 / 貯蔵ぶどう酒 / 《話》《the ~》(スポーツのチームなどの)最下位,sélər
4133,falsehood, 〈C〉偽りの陳述;うそ(lie) / 〈U〉虚偽 / 〈C〉誤った考え(信念),fɔ’:lshud
4134,memorable, 忘れられない、記憶に値する / 注目すべき、きわだった,mém(ə)rəbl
4135,stealing, 〈U〉盗むこと;(野球で)盗塁、スチール / 〈C〉《複数形で》盗品,stí:liŋ
4136,noisy, (人・声などが)『やかましい』、騒々しい、(場所が)騒音に満ちている,nɔ’izi
4137,henceforth, これから先、今後,hènsfɔ’:rs
4138,Cicero,キケロ(Marcus Tullius Cicero;106‐43B.C.;ローマの政治家・雄弁家),sísəròu
4139,laden, ladeの過去分詞 / 荷を積んだ;(…を)積み込んだ《+『with』+『名』》 / 《補語にのみ用いて》(…の重さで)押し下げられた《+『with』+『名』》,léidn
4140,frost, 〈U〉〈C〉『霜』;霜が降りること / 〈U〉例の降りる寒さ;《英》氷点以下の温度 / 〈C〉《話》《軽べつして》《催しなどの》失敗、しくじり、(劇なじの)不入り、失敗作 / …‘を’霜で覆う / …‘を’霜枯れにさせる、(霜のように冷たい雨などで)凍らせる / (糖衣・砂糖などを)〈ケーキなど〉‘に’まぶす、かぶせる《+『名』+『with』+『名』》 / 〈ガラス〉‘を’つや消しにする / 〈物が〉霜で覆われる《+『over』》 / 《itを主語にして》霜を結ぶ、凍る,frɔ’:st
4141,device, 『工夫』、『案』;《しばしば複数形で》策略 / (…の)『考案物』;装置、仕掛け《+『for』+『名』(do『ing』)》 / (紋章などの)図案、意匠 / (文学的効果を上げるための)工夫された表現,diváis
4142,glare, 〈太陽などが〉『ぎらぎら光る』、まぶしく輝く / (…を)『にらみつける』《+『at(on、 upon)』+『名』》 / 〈敵意など〉‘を’にらみつけて表す / 『ぎらぎらする光』、まぶしい光 / 『にらみつけ』 / 非常に目立つこと、けばけばしさ、どぎつさ,gléər
4143,senate, (古代ローマの)元老院 / 《the S-》(米国・カナダ・フランスなどの)『上院』 / (大学の)評議会、理事会,sénət
4144,lasting, 『永続する』;長持ちする,læ’stiŋ
4145,communion, 〈U〉《文》親交;霊的交感 / 〈U〉共有 / 〈C〉宗教的な団体 / (また『Holy Communion』)〈U〉《しばしばCommunion》聖餐式、聖体拝領,kəmjú:njən
